"2024-11-29","OTHER BANK FEES","2",,"0.23"
"2024-11-28","SEND E-TFR ***NX2","16.5",,"2.23"
"2024-11-27","RAY'S VARIETY     _M","30",,"18.73"
"2024-11-27","FANDUEL CANADA    _V","10",,"48.73"
"2024-11-26","SEND E-TFR ***fZw","7.3",,"58.73"
"2024-11-26","BETMGM            _V",,"44","66.03"
"2024-11-26","BETMGM            _V","10",,"22.03"
"2024-11-26","DOLLARAMA #1301   _M","3.96",,"32.03"
"2024-11-26","COSTCO WHOLESAL   _M","1.58",,"35.99"
"2024-11-26","IC* INSTACART     _V","43.14",,"37.57"
"2024-11-26","IC* INST REV 11/25_V",,"44.87","80.71"
"2024-11-26","FanDuel Canada    _V",,"10","35.84"
"2024-11-25","E-TRANSFER ***J8N",,"19.3","25.84"
"2024-11-25","IC* INSTACART     _V","44.87",,"6.54"
"2024-11-25","E-TRANSFER ***mpg",,"40","51.41"
"2024-11-25","SEND E-TFR ***jEV","6.5",,"11.41"
"2024-11-25","E-TRANSFER ***yjW",,"15","17.91"
"2024-11-25","BIC SOUVLAKI      _M","5",,"2.91"
"2024-11-25","BIC SOUVLAKI      _F","5",,"7.91"
"2024-11-21","SEND E-TFR ***CDS","2.92",,"12.91"
"2024-11-20","APPLE STORE #R4","600",,"15.83"
"2024-11-20","E-TRANSFER ***3hY",,"600","615.83"
"2024-11-19","FANDUEL CANADA    _V","10",,"15.83"
"2024-11-19","FANDUEL CANADA    _V","10",,"25.83"
"2024-11-18","SEND E-TFR ***K8p","68",,"35.83"
"2024-11-18","E-TRANSFER ***Aa2",,"70","103.83"
"2024-11-18","COSTCO WHOLESAL   _M","6.77",,"33.83"
"2024-11-18","IC* INSTACART     _V","38.8",,"40.6"
"2024-11-18","E-TRANSFER ***ySv",,"25.5","79.4"
"2024-11-18","E-TRANSFER ***758",,"50","53.9"
"2024-11-18","UBER CANADA/UBE   _V","11.66",,"3.9"
"2024-11-18","BIC SOUVLAKI      _M","5",,"15.56"
"2024-11-18","LOST LOVE         _M","7.75",,"20.56"
"2024-11-18","E-TRANSFER ***QdH",,"11.1","28.31"
"2024-11-18","FanDuel Canada    _V",,"17","17.21"
"2024-11-15","MCDONALD'S #291   _M","16.76",,"0.21"
"2024-11-15","RAY'S VARIETY     _M","30",,"16.97"
"2024-11-15","FanDuel Canada    _V",,"20","46.97"
"2024-11-15","FANDUEL CANADA    _V","10",,"26.97"
"2024-11-14","FANDUEL CANADA    _V","10",,"36.97"
"2024-11-14","FANDUEL CANADA    _V","10",,"46.97"
"2024-11-14","FANDUEL CANADA    _V","25",,"56.97"
"2024-11-14","FANDUEL CANADA    _V","10",,"81.97"
"2024-11-14","FANDUEL CANADA    _V","25",,"91.97"
"2024-11-14","FanDuel Canada    _V",,"70","116.97"
"2024-11-14","BABAZ             _M","13.55",,"46.97"
"2024-11-13","E-TRANSFER ***9B7",,"20","60.52"
"2024-11-13","FANDUEL CANADA    _V","10",,"40.52"
"2024-11-13","FANDUEL CANADA    _V","10",,"50.52"
"2024-11-13","FANDUEL CANADA    _V","10",,"60.52"
"2024-11-13","FanDuel Canada    _V",,"20","70.52"
"2024-11-13","FanDuel Canada    _V",,"50","50.52"
"2024-11-12","FANDUEL CANADA    _V","10",,"0.52"
"2024-11-12","WQ112 TFR-FR 6041995",,"3","10.52"
"2024-11-12","E-TRANSFER ***rRA",,"6","7.52"
"2024-11-12","UBER CANADA/UBE   _V","7.68",,"1.52"
"2024-11-12","SEND E-TFR ***tay","14",,"9.2"
"2024-11-12","E-TRANSFER ***ABE",,"20","23.2"
"2024-11-12","RAY'S VARIETY     _F","30",,"3.2"
"2024-11-12","RQ020 TFR-FR 6041995",,"5","33.2"
"2024-11-12","E-TRANSFER ***CA6",,"6","28.2"
"2024-11-12","UBER CANADA/UBE   _V","25.89",,"22.2"
"2024-11-12","RAY'S VARIETY     _M","3.75",,"48.09"
"2024-11-12","NON-TD ATM W/D","64.95",,"51.84"
"2024-11-12","E-TRANSFER ***wC8",,"70","116.79"
"2024-11-12","BIC SOUVLAKI      _M","5",,"46.79"
"2024-11-12","CEEPS BARNEYS L   _M","5",,"51.79"
"2024-11-12","SEND E-TFR ***EYv","6.5",,"56.79"
"2024-11-07","VENICE PIZZA      _M","11.29",,"63.29"
"2024-11-07","E-TRANSFER ***uas",,"54.75","74.58"
"2024-11-06","RAY'S VARIETY     _M","30",,"19.83"
"2024-11-06","E-TRANSFER ***PHF",,"32","49.83"
"2024-11-05","COSTCO WHOLESAL   _M","1.58",,"17.83"
"2024-11-05","COSTCO WHOLESAL   _F","73.97",,"19.41"
"2024-11-04","Amazon.ca Prime   _V","11.29",,"93.38"
"2024-11-04","E-TRANSFER ***d7W",,"10","104.67"
"2024-11-04","SEND E-TFR ***XsR","20",,"94.67"
"2024-11-04","SEND E-TFR ***vuj","8",,"114.67"
"2024-11-04","BIC SOUVLAKI      _M","5.5",,"122.67"
"2024-11-04","SEND E-TFR ***sjQ","15",,"128.17"
"2024-11-04","SEND E-TFR ***d78","3",,"143.17"
"2024-11-04","COSTCO WHOLESAL   _F","79.25",,"146.17"
"2024-11-04","TIM HORTONS #00   _M","5.65",,"225.42"
"2024-11-01","Letus Rent       MSP","875",,"231.07"
"2024-11-01","LCBO/RAO #0310    _M","81.95",,"1106.07"
"2024-11-01","RAY'S VARIETY     _M","30",,"1188.02"
